序号,可溶性固形物（SSC）,酸碱性（PH）,果皮硬度（N）,色差,maturity_label,maturity_name
1,8.6,2.68,1045.0,34.1385440389269,0,未成熟
2,8.5,2.71,1042.381,34.4025649042788,0,未成熟
3,9.1,2.72,719.714,33.2114222174048,0,未成熟
4,7.4,2.73,1023.152,36.9509122089026,0,未成熟
5,10.3,2.76,912.468,29.6494387932699,0,未成熟
6,10.2,2.63,810.092,28.7969980388466,0,未成熟
7,9.6,2.73,837.859,33.7991759362268,0,未成熟
8,9.5,2.73,999.616,33.8272830866712,0,未成熟
9,7.2,2.72,1012.23,37.866950785478,0,未成熟
10,9.4,2.68,850.089,33.953806920525,0,未成熟
11,7.4,2.73,1074.61,34.9817894105833,0,未成熟
12,6.2,2.67,1278.594,38.993722015187,0,未成熟
13,9.2,2.68,834.013,34.0266909923102,0,未成熟
14,9.3,2.63,948.004,28.7392901234818,0,未成熟
15,9.4,2.74,972.002,26.9854564560763,0,未成熟
16,9.9,2.63,1063.534,32.0824508805575,0,未成熟
17,8.8,2.69,826.321,33.3546890686918,0,未成熟
18,7.9,2.71,1029.767,35.3246623196228,0,未成熟
19,10.1,2.78,871.625,26.4328699544822,0,未成熟
20,10.6,2.69,923.929,23.7090541201058,0,未成熟
21,9.9,2.73,868.856,29.6957112288018,0,未成熟
22,10.5,2.71,718.868,23.0322790154153,0,未成熟
23,10.0,2.75,928.313,26.4387532887553,0,未成熟
24,10.6,2.74,819.552,19.2051340228624,1,半成熟
25,10.7,2.66,730.021,24.4011128158002,0,未成熟
26,10.6,2.76,835.782,24.7857382408134,0,未成熟
27,10.5,2.7,733.867,24.9270074396592,0,未成熟
28,10.0,2.74,761.711,21.3027394679929,1,半成熟
29,10.3,2.69,864.549,28.4764522209936,0,未成熟
30,10.8,2.75,728.559,23.7246219801352,0,未成熟
31,5.3,2.64,1179.217,40.3205259275028,0,未成熟
32,8.9,2.75,823.168,33.5611849036765,0,未成熟
33,8.9,2.73,733.79,33.5248673357368,0,未成熟
34,8.1,2.7,787.247,34.5124997464596,0,未成熟
35,8.6,2.76,941.62,35.5784031874126,0,未成熟
36,9.4,2.77,816.707,32.2774778824343,0,未成熟
37,9.9,2.72,901.085,31.7492746620766,0,未成熟
38,8.8,2.74,783.709,33.9251026049783,0,未成熟
39,9.3,2.69,836.782,34.7445244169415,0,未成熟
40,9.9,2.73,1052.073,32.312480175716,0,未成熟
41,6.6,2.49,1427.275,38.0289243010668,0,未成熟
42,9.0,2.65,1264.057,34.9026954014662,0,未成熟
43,7.3,2.72,1220.06,37.6036182932752,0,未成熟
44,7.3,2.71,1092.224,35.6212626718719,0,未成熟
45,8.5,2.66,988.693,35.1325687279541,0,未成熟
46,7.7,2.51,1298.439,34.6661317294454,0,未成熟
47,9.3,2.61,1131.759,34.0623871265838,0,未成熟
48,10.4,2.7,856.627,21.4436280580642,1,半成熟
49,10.2,2.73,998.077,24.9711392578016,0,未成熟
50,10.1,2.7,968.156,28.8817584036812,0,未成熟
51,10.4,2.7,834.859,26.1868766258003,0,未成熟
52,10.4,2.73,888.778,25.9368320328865,0,未成熟
53,10.1,2.75,809.015,31.1468540698038,0,未成熟
54,10.6,2.75,793.247,20.8114846678144,1,半成熟
55,11.1,2.78,836.167,16.9699760039349,1,半成熟
56,11.4,2.71,959.772,19.2469650574041,1,半成熟
57,12.3,2.69,1048.535,14.0508378602268,1,半成熟
58,11.2,2.77,858.319,16.7192464738725,1,半成熟
59,11.6,2.74,973.771,16.177334522545,1,半成熟
60,11.6,2.76,927.083,15.9198165601503,1,半成熟
61,11.7,2.74,836.705,18.0507838909276,1,半成熟
62,11.4,2.8,900.7,19.2637576972705,1,半成熟
63,11.3,2.75,1093.531,22.9607874020213,0,未成熟
64,11.9,2.82,819.476,16.520967642565,1,半成熟
65,13.0,2.8,866.164,13.6766159202792,1,半成熟
66,11.1,2.75,835.859,22.4236504904517,0,未成熟
67,12.2,2.81,938.159,15.1889594382895,1,半成熟
68,12.2,2.86,878.394,14.8840592276426,1,半成熟
69,11.9,2.74,926.775,15.3671763375968,1,半成熟
70,12.7,2.83,770.095,14.0112858912817,1,半成熟
71,12.2,2.81,747.327,14.6048538294154,1,半成熟
72,11.4,2.78,909.853,19.3449653557967,1,半成熟
73,11.7,2.73,925.544,16.4061380958217,1,半成熟
74,12.5,2.82,814.399,16.0209281880752,1,半成熟
75,12.7,2.75,780.248,13.7114517769682,1,半成熟
76,13.0,2.74,854.319,14.3248996169009,1,半成熟
77,11.6,2.78,807.861,18.4129893083333,1,半成熟
78,11.8,2.79,851.088,17.5867573278735,1,半成熟
79,12.4,2.8,844.935,14.3418713345627,1,半成熟
80,11.9,2.82,748.327,18.5750104713701,1,半成熟
81,12.1,2.77,921.545,17.0964977537656,1,半成熟
82,11.6,2.74,977.694,17.9969166133569,1,半成熟
83,11.2,2.77,814.476,17.5737949134708,1,半成熟
84,12.3,2.75,864.626,16.5003482128776,1,半成熟
85,14.4,3.07,453.504,8.31015164286695,2,成熟
86,13.3,2.72,954.004,12.8384743924164,1,半成熟
87,13.7,2.81,845.935,10.8379813681127,1,半成熟
88,12.8,2.84,856.011,13.5588252969473,1,半成熟
89,12.8,2.8,929.929,12.4022798542838,1,半成熟
90,13.4,3.1,412.661,5.38192714874603,2,成熟
91,12.2,2.8,1000.0,15.754923916719,1,半成熟
92,12.7,2.83,779.248,14.6460701007036,1,半成熟
93,13.0,2.77,855.088,14.496112567312,1,半成熟
94,12.5,2.75,857.857,12.9716445800269,1,半成熟
95,11.1,2.77,909.238,24.4063633740629,0,未成熟
96,12.4,2.78,985.54,15.5576393397529,1,半成熟
97,13.7,2.76,911.699,12.0345252100345,1,半成熟
98,12.7,2.67,1017.537,14.8254700267916,1,半成熟
99,11.9,2.72,854.396,20.7830050280098,1,半成熟
100,11.9,2.74,859.78,15.3273493147124,1,半成熟
101,11.6,2.8,852.396,15.1197167528236,1,半成熟
102,11.7,2.81,1048.612,16.4046910427342,1,半成熟
103,11.0,2.79,821.783,17.5823265412316,1,半成熟
104,11.5,2.54,1069.841,19.0213565914734,1,半成熟
105,12.4,2.63,748.25,15.755052264412,1,半成熟
106,13.2,2.78,941.62,14.5057848818513,1,半成熟
107,13.1,2.8,846.012,14.2471418311932,1,半成熟
108,13.6,2.79,811.092,14.0988316574831,1,半成熟
